Date,Open,High,Low,Close,Volume
2-Mar-10,"9,499.77","9,583.31","9,451.75","9,546.38",0
3-Mar-10,"9,560.48","9,605.80","9,408.81","9,419.43",0
4-Mar-10,"9,426.37","9,518.12","9,370.80","9,511.53",0
5-Mar-10,"9,517.70","9,646.17","9,511.32","9,626.29",0
8-Mar-10,"9,637.23","9,763.16","9,628.89","9,740.19",0
9-Mar-10,"9,763.91","9,860.59","9,763.91","9,787.03",0
10-Mar-10,"9,801.37","9,844.03","9,767.41","9,784.98",0
11-Mar-10,"9,785.86","9,910.21","9,785.86","9,879.70",0
12-Mar-10,"9,889.90","10,039.31","9,862.03","10,025.99",0
15-Mar-10,"10,055.11","10,131.22","10,039.63","10,088.45",0
16-Mar-10,"10,111.19","10,122.66","10,000.66","10,017.71",0
17-Mar-10,"10,018.97","10,096.15","9,972.53","9,981.48",0
18-Mar-10,"10,025.62","10,050.04","9,990.65","10,007.87",0
19-Mar-10,"10,022.07","10,047.17","9,992.86","10,000.93",0
22-Mar-10,"9,995.43","10,026.38","9,961.08","9,963.35",0
24-Mar-10,"9,986.07","10,164.90","9,986.07","10,146.27",0
25-Mar-10,"10,192.92","10,224.88","10,119.00","10,127.03",0
26-Mar-10,"10,133.74","10,179.72","10,109.15","10,137.93",0
29-Mar-10,"10,165.02","10,173.76","10,042.42","10,056.46",0
30-Mar-10,"10,056.42","10,131.18","10,015.55","10,073.76",0
31-Mar-10,"10,071.99","10,284.60","10,071.99","10,178.43",0
1-Apr-10,"10,236.91","10,314.73","10,227.86","10,246.77",0
2-Apr-10,"10,260.41","10,429.99","10,260.41","10,416.51",0
5-Apr-10,"10,443.24","10,491.82","10,403.83","10,447.84",0
6-Apr-10,"10,479.93","10,554.52","10,405.13","10,419.82",0
7-Apr-10,"10,442.81","10,552.70","10,442.81","10,523.01",0
8-Apr-10,"10,549.47","10,594.39","10,492.34","10,533.57",0
9-Apr-10,"10,560.06","10,627.96","10,560.06","10,586.46",0
12-Apr-10,"10,587.18","10,637.08","10,533.40","10,557.19",0
13-Apr-10,"10,579.96","10,586.57","10,498.73","10,506.20",0
14-Apr-10,"10,532.59","10,592.62","10,495.48","10,570.88",0
15-Apr-10,"10,574.99","10,688.76","10,574.99","10,677.47",0
16-Apr-10,"10,702.51","10,720.60","10,646.22","10,659.21",0
19-Apr-10,"10,674.33","10,691.79","10,632.31","10,669.88",0
20-Apr-10,"10,685.20","10,731.39","10,634.76","10,641.52",0
21-Apr-10,"10,644.40","10,654.53","10,529.30","10,590.21",0
22-Apr-10,"10,604.68","10,681.77","10,599.10","10,615.15",0
23-Apr-10,"10,618.90","10,638.24","10,578.54","10,607.03",0
26-Apr-10,"10,628.75","10,639.69","10,539.72","10,556.37",0
27-Apr-10,"10,562.52","10,625.17","10,543.09","10,556.38",0
28-Apr-10,"10,572.67","10,578.81","10,445.43","10,519.02",0
29-Apr-10,"10,518.70","10,579.44","10,425.93","10,454.63",0
30-Apr-10,"10,455.30","10,485.73","10,407.54","10,428.12",0
3-May-10,"10,420.94","10,455.76","10,340.13","10,389.46",0
4-May-10,"10,390.72","10,559.83","10,390.72","10,467.76",0
5-May-10,"10,467.96","10,589.35","10,425.64","10,561.74",0
6-May-10,"10,569.54","10,601.79","10,538.28","10,553.12",0
7-May-10,"10,527.08","10,527.08","10,255.14","10,271.47",0
10-May-10,"10,261.86","10,338.47","10,246.86","10,288.14",0
11-May-10,"10,335.06","10,381.51","10,192.64","10,208.81",0
12-May-10,"10,213.08","10,245.15","10,079.65","10,222.04",0
13-May-10,"10,242.81","10,303.57","10,212.83","10,279.52",0
14-May-10,"10,291.31","10,341.47","10,230.97","10,271.71",0
17-May-10,"10,269.87","10,269.87","10,023.60","10,033.76",0
18-May-10,"10,032.38","10,113.16","10,001.57","10,082.04",0
19-May-10,"10,074.08","10,096.28","9,938.99","10,050.04",0
20-May-10,"10,037.33","10,071.98","9,977.51","9,993.40",0
21-May-10,"9,978.10","9,984.27","9,818.63","9,871.16",0
24-May-10,"9,872.32","9,883.57","9,656.48","9,687.41",0
25-May-10,"9,661.69","9,752.30","9,357.80","9,428.44",0
26-May-10,"9,427.41","9,627.61","9,355.34","9,611.55",0
27-May-10,"9,613.01","9,655.37","9,411.57","9,439.97",0
28-May-10,"9,442.91","9,593.44","9,426.21","9,521.15",0
31-May-10,"9,516.13","9,542.93","9,304.27","9,326.42",0
1-Jun-10,"9,308.03","9,339.96","9,164.40","9,294.18",0
2-Jun-10,"9,309.54","9,528.22","9,273.34","9,499.06",0
3-Jun-10,"9,514.77","9,651.28","9,466.52","9,621.30",0
4-Jun-10,"9,649.26","9,665.29","9,543.47","9,636.88",0
7-Jun-10,"9,627.08","9,825.99","9,531.65","9,791.64",0
8-Jun-10,"9,816.66","9,822.16","9,705.37","9,763.17",0
9-Jun-10,"9,768.14","9,779.30","9,670.78","9,678.38",0
10-Jun-10,"9,673.30","9,692.33","9,355.94","9,379.78",0
11-Jun-10,"9,379.30","9,499.61","9,379.30","9,471.12",0
14-Jun-10,"9,312.40","9,324.56","9,131.11","9,229.60",0
15-Jun-10,"9,239.94","9,370.36","9,176.27","9,250.55",0
16-Jun-10,"9,285.74","9,481.83","9,274.55","9,436.88",0
17-Jun-10,"9,405.73","9,709.88","9,320.49","9,676.71",0
18-Jun-10,"9,704.50","9,820.35","9,611.17","9,645.71",0
21-Jun-10,"9,646.32","9,691.53","9,608.63","9,651.31",0
22-Jun-10,"9,665.27","9,786.06","9,663.37","9,682.32",0
23-Jun-10,"9,691.00","9,745.15","9,675.19","9,715.39",0
24-Jun-10,"9,721.28","9,836.13","9,720.11","9,791.89",0
25-Jun-10,"9,817.62","9,848.15","9,715.13","9,796.85",0
28-Jun-10,"9,790.64","9,859.42","9,656.33","9,671.55",0
29-Jun-10,"9,676.93","9,738.16","9,568.87","9,702.03",0
30-Jun-10,"9,713.51","9,749.82","9,663.92","9,721.91",0
1-Jul-10,"9,739.77","9,771.48","9,707.61","9,730.99",0
2-Jul-10,"9,743.36","9,756.73","9,682.23","9,697.65",0
5-Jul-10,"9,708.73","9,730.24","9,631.10","9,637.97",0
6-Jul-10,"9,638.23","9,684.13","9,544.81","9,575.20",0
7-Jul-10,"9,574.65","9,800.39","9,572.17","9,789.69",0
8-Jul-10,"9,797.16","9,895.75","9,781.76","9,860.99",0
9-Jul-10,"9,853.08","9,993.38","9,853.08","9,974.40",0
12-Jul-10,"9,979.98","10,053.38","9,945.44","9,979.07",0
13-Jul-10,"10,001.16","10,131.37","9,979.79","10,114.65",0
14-Jul-10,"10,137.33","10,238.30","10,130.23","10,187.00",0
15-Jul-10,"10,212.53","10,258.81","10,082.89","10,095.80",0
16-Jul-10,"10,104.80","10,177.26","10,072.30","10,153.85",0
19-Jul-10,"10,184.79","10,252.34","10,180.13","10,201.85",0
20-Jul-10,"10,207.89","10,276.60","10,205.47","10,251.53",0
21-Jul-10,"10,252.92","10,301.21","10,174.01","10,234.03",0
22-Jul-10,"10,236.08","10,289.79","10,210.69","10,228.86",0
23-Jul-10,"10,248.09","10,327.10","10,233.54","10,296.04",0
26-Jul-10,"10,318.82","10,350.17","10,283.60","10,297.68",0
27-Jul-10,"10,313.39","10,411.48","10,303.88","10,386.82",0
28-Jul-10,"10,402.28","10,467.06","10,397.69","10,436.29",0
29-Jul-10,"10,449.53","10,481.48","10,416.54","10,427.28",0
30-Jul-10,"10,442.94","10,539.25","10,432.45","10,519.02",0
2-Aug-10,"10,423.87","10,423.87","10,289.89","10,373.53",0
3-Aug-10,"10,364.09","10,430.56","10,331.49","10,388.64",0
4-Aug-10,"10,427.34","10,480.61","10,378.32","10,390.27",0
5-Aug-10,"10,417.02","10,435.93","10,335.06","10,351.72",0
6-Aug-10,"10,351.42","10,410.63","10,298.40","10,315.20",0
9-Aug-10,"10,319.91","10,325.85","9,972.52","10,026.20",0
10-Aug-10,"10,020.13","10,036.81","9,861.75","9,892.32",0
11-Aug-10,"9,904.93","10,001.45","9,861.61","9,875.68",0
12-Aug-10,"9,880.11","9,918.24","9,770.50","9,792.81",0
13-Aug-10,"9,818.46","9,840.12","9,809.19","9,823.37",0
16-Aug-10,"9,819.64","9,860.07","9,517.41","9,537.13",0
17-Aug-10,"9,537.13","9,698.76","9,488.35","9,677.88",0
18-Aug-10,"9,677.89","9,766.75","9,663.60","9,705.00",0
19-Aug-10,"9,705.00","9,885.98","9,705.00","9,847.61",0
20-Aug-10,"9,850.34","9,874.17","9,778.39","9,860.35",0
23-Aug-10,"9,874.03","9,889.61","9,793.57","9,812.10",0
24-Aug-10,"9,813.79","9,838.81","9,634.37","9,637.17",0
25-Aug-10,"9,639.29","9,640.54","9,497.75","9,553.81",0
26-Aug-10,"9,562.60","9,633.55","9,544.49","9,589.37",0
27-Aug-10,"9,587.37","9,635.37","9,544.74","9,598.71",0
